ship_to_code,child_sku_code,gsv
15109589,65004322,2.448
15109589,65004329,2.436
15109589,65004330,1.982
15109589,65004331,2.620
15109589,65004332,2.507
15109589,65004333,0.790
15109589,65004335,0.538
15109589,65004337,1.323
15109589,65004338,0.823
15109589,65004356,0.266
15109589,65004359,0.250
15109589,65004439,0.711
15109589,65004467,0.184
15109589,65004468,0.250
15109589,65004471,4.990
15109589,65004472,0.941
15109589,65004473,1.767
15109589,65004474,1.498
15109589,65004475,1.307
15109589,65004476,0.712
15109589,65004477,2.420
15109589,65004479,1.139
15109589,65004486,1.785
15109589,65004500,0.450
15109589,65004501,3.135
15109589,65004502,3.052
15109589,65004504,0.389
15109589,65004505,0.272
15109589,65004506,0.295
15109589,65004507,0.289
15109589,65004508,0.500
15109589,65004509,0.383
15109589,65004510,1.379
15109589,65004511,0.092
15109589,65004512,0.000
15109589,65004513,0.403
15109589,65004514,0.327
15109589,65004554,0.766
15109589,65004555,5.271
15109589,65004556,1.750
15109589,65004557,1.292
15109589,65004558,1.917
15109589,65004559,6.042
15109589,65004562,1.906
15109589,65004578,11.916
15109589,65004594,0.890
15109589,65004615,0.617
15109589,65004621,0.363
15109589,65004623,6.333
15109589,65004624,0.533
15109589,65004662,5.229
15109589,65004664,1.180
15109589,65004665,1.535
15109589,65004666,2.240
15109589,65004668,2.177
15109589,65004669,0.694
15109589,65004670,0.747
15109589,65004671,0.688
15109589,65004672,0.587
15109589,65004675,5.948
15109589,65004679,2.271
15109589,65004680,1.550
15109589,65004681,0.882
15109589,65004685,2.372
15109589,65004686,1.906
15109589,65004687,1.267
15109589,65004688,1.097
15109589,65004689,0.944
15109589,65004725,4.033
15109589,65004726,4.597
15109589,65004733,0.000
15109589,65004736,9.701
15109589,65004737,4.410
15109589,65004749,2.646
15109589,65004750,4.090
15109589,65004751,1.331
15109589,65004752,3.861
15109589,65004772,0.457
15109589,65004773,0.292
15109589,65004789,4.389
15109589,65004792,2.646
15109589,65004793,2.328
15109589,65021263,0.000
15109589,65021267,0.323
15109589,65021268,0.000
15109589,65021277,0.000
15109589,65021312,0.016
15109589,65021336,0.084
15109589,65021352,0.563
15109589,65021353,0.691
15109589,65021715,0.492
15109589,65023298,0.000
15109589,65023300,0.000
15109589,65023307,0.000
15109589,65023308,0.000
15109589,65023361,0.091
15109589,65023362,0.067
15109589,65023426,0.169
15109589,65023427,0.115
15109589,65023596,0.260
15109589,65023639,0.000
15109589,65023641,0.000
15109589,65023650,0.000
15109589,65023656,0.000
15109589,65023698,0.089
15109589,65023700,0.063
15109589,65023701,0.042
15109589,65023703,0.032
15109589,65023715,0.029
15109589,65023716,0.051
15109589,65023733,1.090
15109589,65023763,0.958
15109589,65023901,0.014
15109589,65023953,0.033
15109589,65023956,0.077
15109589,65023957,0.023
15109589,65023963,0.061
15109589,65023991,0.000
15109589,65024649,0.801
15109589,65024650,0.417
15109589,65024656,0.394
15109589,65024709,0.014
15109589,65024745,0.025
15109589,65024758,0.212
15109589,65024759,0.208
15109589,65024762,0.206
15109589,65024763,0.097
15109589,65024805,0.111
15109589,65024806,0.542
15109589,65024810,0.784
15109589,65024815,0.395
15109589,65024819,0.468
15109589,65024820,0.476
15109589,65024822,0.328
15109589,65024848,0.066
15109589,65024851,0.019
15109589,65024857,1.913
15109589,65024865,1.709
15109589,65024866,1.545
15109589,65024871,0.248
15109589,65024873,0.167
15109589,65024875,0.627
15109589,65024878,1.004
15109589,65024889,8.293
15109589,65024890,4.952
15109589,65024891,4.488
15109589,65024903,5.906
15109589,65024926,1.150
15109589,65024948,0.054
15109589,65024954,0.007
15109589,65024967,0.333
15109589,65024968,0.100
15109589,65024969,0.347
15109589,65024970,0.138
15109589,65024971,0.413
15109589,65024973,0.481
15109589,65025006,0.671
15109589,65025008,0.735
15109589,65025009,0.422
15109589,65025107,8.417
15109589,65025118,8.181
15109589,65025121,1.177
15109589,65025124,0.000
15109589,65025125,0.500
15109589,65025220,0.934
15109589,65025224,0.483
15109589,65025463,0.163
15109589,65025464,0.242
15109589,65025465,0.083
15109589,65025525,1.034
15109589,65028821,8.958
15109589,65028980,0.000
15109589,65037070,1.004
15109589,65037071,1.013
15109589,65037072,0.535
15109589,65037073,0.539
15109589,65037074,0.399
15109589,65037075,0.256
15109589,65037076,0.546
15109589,65037077,0.644
15109589,65037078,0.195
15109589,65037079,0.337
15109589,65037080,0.344
15109589,65037081,0.168
15109589,65037085,0.171
15109589,65037086,0.134
15109589,65037087,0.079
15109589,65037088,0.774
15109589,65037089,0.797
15109589,65037090,0.522
15109589,65037091,0.035
15109589,65037092,0.063
15109589,65037093,0.014
15109589,65037094,0.180
15109589,65037095,0.119
15109589,65037096,0.063
15109589,65037240,0.042
15109589,65038236,0.423
15109589,65038237,0.110
15109589,65038238,0.089
15109589,65038265,0.808
15109589,65038266,0.258
15109589,65038270,0.031
15109589,65038272,6.268
15109589,65038273,5.731
15109589,65038303,1.770
15109589,65038304,1.779
15109589,65038305,0.725
15109589,65038306,0.892
15109589,65038307,0.000
15109589,65038308,2.894
15109589,65038309,2.755
15109589,65038310,0.989
15109589,65038311,0.082
15109589,65039756,0.081
15109589,65039759,0.526
15109589,65039804,0.333
15109589,65039806,0.333
15109589,65039945,1.917
15109589,66814813,0.000
15109589,68902181,0.132
15109589,68902182,0.050
15109589,68902183,0.071
15109589,68902184,0.000
15109589,68902185,0.029
15109589,68902186,0.008
15109589,68902187,0.228
15109589,68902188,0.191
15109589,68902189,0.099
15109589,68902190,0.064
15109589,68902191,0.100
15112794,20046526,0.000
15112794,20046534,0.000
15112794,20062044,0.000
15112794,20062872,0.000
15112794,20066609,0.167
15112794,20066610,0.033
15112794,20066612,0.000
15112794,20071828,0.000
15112794,20081774,1.365
15112794,20086769,1.102
15112794,20086770,0.182
15112794,20087940,0.024
15112794,20088413,0.272
15112794,20089350,0.000
15112794,20094074,0.411
15112794,20094079,0.311
15112794,20095108,0.005
15112794,20095115,0.000
15112794,20097679,0.000
15112794,20100107,0.000
15112794,20100128,0.042
15112794,20100130,0.000
15112794,20100775,0.000
15112794,20101861,0.000
15112794,20101862,0.000
15112794,20203191,0.000
15112794,20205116,0.094
15112794,20206148,0.000
15112794,20211370,0.000
15112794,20211389,0.000
15112794,20211390,0.000
15112794,20211391,0.000
15112794,20223465,0.000
15112794,20224880,0.114
15112794,20224883,0.640
15112794,20224886,0.000
15112794,20224896,0.000
15112794,20224900,0.002
15112794,20224904,0.000
15112794,20224914,0.167
15112794,20226137,0.068
15112794,20226139,0.466
15112794,20226140,2.665
15112794,20226477,0.167
15112794,20227912,0.504
15112794,20228066,0.000
15112794,20228246,2.106
15112794,20228247,1.817
15112794,20228248,0.534
15112794,20228249,1.295
15112794,20228253,0.718
15112794,20228255,0.434
15112794,20228256,1.091
15112794,20228257,1.109
15112794,20228578,0.400
15112794,20229762,0.016
15112794,20229781,0.147
15112794,20229790,0.014
15112794,20229792,0.064
15112794,20229807,0.538
15112794,20230185,0.000
15112794,20230438,1.487
15112794,20233872,0.000
15112794,20236585,0.567
15112794,20236586,0.005
15112794,20240484,0.060
15112794,20241701,0.147
15112794,20241703,0.014
15112794,20248030,0.000
15112794,20248031,0.127
15112794,20248033,0.000
15112794,20248034,0.937
15112794,20248036,0.000
15112794,20249673,0.167
15112794,20250394,0.204
15112794,20250408,0.034
15112794,20253707,0.088
15112794,20254003,0.108
15112794,20254004,0.000
15112794,20254006,0.102
15112794,20254008,0.123
15112794,20255426,0.156
15112794,20257714,0.167
15112794,20261111,0.239
15112794,20261112,0.570
15112794,20261413,0.002
15112794,20266523,0.010
15112794,20266525,0.000
15112794,20266527,0.167
15112794,20266528,0.000
15112794,20266933,0.107
15112794,20266938,0.000
15112794,20266943,0.872
15112794,20266945,1.167
15112794,20267072,0.167
15112794,20267422,0.028
15112794,20267423,0.021
15112794,20267424,0.011
15112794,20269318,0.000
15112794,20269498,0.153
15112794,20269560,0.319
15112794,20269561,0.075
15112794,20269588,0.171
15112794,20270154,0.062
15112794,20270159,0.313
15112794,20270160,0.403
15112794,20270164,0.212
15112794,20270171,0.688
15112794,20270172,0.412
15112794,20270174,0.315
15112794,20270187,0.279
15112794,20270194,0.014
15112794,20270195,0.000
15112794,20270198,0.000
15112794,20270199,0.167
15112794,20270207,0.053
15112794,20270209,0.070
15112794,20270210,0.069
15112794,20270242,0.075
15112794,20270243,0.145
15112794,20270503,0.000
15112794,20271012,0.015
15112794,20271014,0.088
15112794,20271016,0.000
15112794,20271018,0.083
15112794,20271020,0.041
15112794,20271022,0.078
15112794,20271023,0.083
15112794,20271024,0.000
15112794,20271026,0.083
15112794,20271981,0.735
15112794,20272347,0.394
15112794,20272631,0.069
15112794,20272802,0.107
15112794,20274009,0.333
15112794,20274406,0.021
15112794,20274407,0.000
15112794,20274408,0.282
15112794,20274414,1.168
15112794,20274594,0.023
15112794,20274597,0.285
15112794,20274601,0.022
15112794,20274605,0.000
15112794,20274960,0.000
15112794,20275028,0.687
15112794,20275568,0.042
15112794,20275600,0.384
15112794,20275602,0.010
15112794,20275603,0.191
15112794,20275604,0.362
15112794,20275678,0.666
15112794,20276346,0.000
15112794,20276982,0.000
15112794,20276983,0.313
15112794,20276987,0.194
15112794,20276990,0.053
15112794,20276991,0.050
15112794,20277200,0.049
15112794,20277218,0.500
15112794,20277219,0.160
15112794,20277247,0.031
15112794,20277272,0.058
15112794,20277317,0.665
15112794,20277327,0.000
15112794,20277330,0.356
15112794,20277374,0.437
15112794,20277382,0.205
15112794,20277449,0.100
15112794,20277839,1.142
15112794,20277848,1.215
15112794,20277851,0.560
15112794,20277852,0.857
15112794,20277895,0.022
15112794,20278000,0.000
