sap_code,sap_desc,pack_size,barcode,case_code,price_case,price_case_tax,price,srp
65004505,KNORR RGLR DRY SOUP NIDO ORNTL 60X60G,60,4808680210902,14808680210909,2397.32,2685.00,44.75,46.80
65004506,KNORR RGLR DRY SOUP PORK N MSHRM 60X55G,60,4808680210803,14808680210800,2563.39,2871.00,47.85,50.10
65004511,KNORR RGLR DRY SOUP BEEF NDL SOUP 60X60G,60,4808680220802,14808680220809,1513.39,1695.00,28.25,29.60
65004513,KNORR RGLR DRY SOUP CHCKN NDLE 60X60G,60,4808680221359,14808680221356,1513.39,1695.00,28.25,29.60
65004514,KNORR RGLR DRY SOUP CHCKN SOPAS 60X80G,60,4808680221403,14808680221400,1513.39,1695.00,28.25,29.60
65004507,KNORR RGLR DRY SOUP CRM OF ASPRGS 60X70G,60,4808680221151,14808680221158,1960.71,2196.00,36.60,38.50
65004508,KNORR RGLR DRY SOUP CRM OF CHCKN 60X70G,60,4808680220901,14808680220908,2008.93,2250.00,37.50,39.50
65004509,KNORR RGLR DRY SOUP CRM OF CORN 60X80G,60,4808680221007,14808680221004,2008.93,2250.00,37.50,39.50
65004510,KNORR RGLR DRY SOUP CRM OF MSHRM 60X70G,60,4808680221250,14808680221257,1960.71,2196.00,36.60,38.50
65004615,LIPTON ICED PWDR TEA ICED TEA LEMN72X25G,72,4800888602343,24800888602347,514.29,576.00,8.00,8.70
65004621,LIPTON ICED PWDR TEA ICE TEALMN12X1000G,12,4800888211323,24800888211327,1707.86,1912.80,159.40,172.80
